"";"diputadoId";"nombre";"distrito";"bloqueId";"color";"bloque";"bloqueAbreviado";"periodo";"cluster"
"4022";402;"HERRERA, Griselda Noemí";"La Rioja";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"4072";407;"HUMADA, Julio Cesar";"Misiones";74;"#1f77b4";"Justicialista";"Justicialista";2005;3
"4132";413;"IGLESIAS, Roberto Raul";"Mendoza";147;"#d62728";"Unión Cívica Radical";"UCR";2005;4
"414";414;"ILARREGUI, Luis Alfredo";"Buenos Aires";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"4152";415;"INGRAM, Roddy Ernesto";"Chubut";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"4182";418;"IRRAZABAL, Juan Manuel";"Misiones";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"4192";419;"ISLA de SARACENI, Celia Anita";"Misiones";74;"#1f77b4";"Justicialista";"Justicialista";2005;1
"4211";421;"ITURRIETA, Miguel Angel";"Misiones";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"4222";422;"JALIL, Luis Julián";"Neuquén";87;"#ffffff";"Movimiento Popular Neuquino";"Movimiento Popular Neuquino";2005;1
"4232";423;"JANO, Ricardo Javier";"Buenos Aires";147;"#d62728";"Unión Cívica Radical";"UCR";2005;4
"4242";424;"JAROSLAVSKY, Gracia Maria";"Entre Ríos";147;"#d62728";"Unión Cívica Radical";"UCR";2005;1
"4252";425;"JARQUE, Margarita Ofelia";"Buenos Aires";36;"#ffffff";"Encuentro";"Encuentro";2005;1
"4262";426;"JEREZ, Esteban Eduardo";"Tucumán";118;"#e7ba52";"Propuesta Republicana";"PRO";2005;1
"4272";427;"JEREZ, Eusebia Antonia";"Tucumán";69;"#ffffff";"Fuerza Republicana";"Fuerza Republicana";2005;2
"4292";429;"JOHNSON, Guillermo";"Córdoba";74;"#1f77b4";"Justicialista";"Justicialista";2005;3
"432";432;"KAKUBUR, Emilio";"Misiones";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"438";438;"KRONEBERGER, Daniel Ricardo";"La Pampa";147;"#d62728";"Unión Cívica Radical";"UCR";2005;4
"4392";439;"KUNEY, Mónica Adriana";"Santa Cruz";74;"#1f77b4";"Justicialista";"Justicialista";2005;3
"440";440;"KUNKEL, Carlos Miguel";"Buenos Aires";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"4422";442;"LAMBERTO, Oscar Santiago";"Santa Fe";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
