"";"diputadoId";"nombre";"distrito";"bloqueId";"color";"bloque";"bloqueAbreviado";"periodo";"cluster"
"773";773;"TOMAZ, Adriana Elisa";"Buenos Aires";106;"#ffffff";"Partido Unidad Federalista";"Partido Unidad Federalista";2005;4
"774";774;"TONELLI, Pablo Gabriel";"Buenos Aires";118;"#e7ba52";"Propuesta Republicana";"PRO";2005;4
"777";777;"TORINO, Héctor Omar";"San Luis";51;"#ffffff";"Frente del Movimiento Popular";"Frente del Movimiento Popular";2005;4
"7782";778;"TORRES, Francisco";"Tucumán";69;"#ffffff";"Fuerza Republicana";"Fuerza Republicana";2005;1
"7791";779;"TORRONTEGUI, María Angélica";"San Luis";51;"#ffffff";"Frente del Movimiento Popular";"Frente del Movimiento Popular";2005;4
"7822";782;"TULIO, Rosa Ester";"Buenos Aires";113;"#ffffff";"Peronista Federal";"Peronista Federal";2005;4
"7842";784;"UBALDINI, Saul Edolver";"Buenos Aires";74;"#1f77b4";"Justicialista";"Justicialista";2005;3
"7872";787;"URTUBEY, Juan Manuel";"Salta";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"788";788;"VACA NARVAJA, Patricia";"Córdoba";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"7902";790;"VANOSSI, Jorge";"Cdad.Aut.Bs.As.";118;"#e7ba52";"Propuesta Republicana";"PRO";2005;2
"7922";792;"VARGAS AIGNASSE, Gerónimo";"Tucumán";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"793";793;"VARISCO, Sergio Fausto";"Entre Ríos";147;"#d62728";"Unión Cívica Radical";"UCR";2005;4
"7942";794;"VARIZAT, Daniel Alberto";"Santa Cruz";74;"#1f77b4";"Justicialista";"Justicialista";2005;3
